Gene_Symbol,Gene_Length
UQCRC2,30059
NUDC,25149
SYNJ2BP,50594
HIST1H2BD,13227
MFSD8,48179
AP2B1,139154
SERPINB9,16046
OPA1,104667
CLEC1B,6237
RPS6KB1,57379
N4BP2L2,106006
GPRIN1,14328
COMMD8,12865
ANKHD1,138042
MPZL3,22675
HS3ST3B1,44986
CDC73,132854
ZNF45,22635
GSKIP,23838
HEXDC,24264
MRPS15,8678
CHCHD5,4581
SLC35D1,55065
RNFT1,12394
UNC13B,243343
SELL,21037
ARRDC3-AS1,40368
WDR59,111546
TGIF1,46334
ABHD13,15840
IRAK1,9385
MNS1,36406
ROCK2,162933
RNF24,84147
DNAJC2,32399
TBC1D9,135535
TBKBP1,16799
PTP4A2,31966
ZNF276,19939
DHX57,78145
C1orf35,2594
RASSF5,81737
CCDC25,39337
AURKAPS1,1536
STRBP,146947
ATF4,2122
AFAP1L1,69966
PLGRKT,79970
CRTC2,10984
GPR137B,66377
TTC9,33573
APOOL,89425
H1F0,2329
OTOF,101495
RBM4B,12805
SDHA,38458
MBD5,492464
RNF135,28973
CAPZA2,56750
FMNL3,69473
ZNF319,5189
LOC401397,1864
POC5,43289
YME1L1,44309
CDCA7L,45025
ZNHIT2,1295
IMPG2,98029
ZNF736,36831
NIPA1,43564
GTF2H1,44774
SCLT1,209612
CHAMP1,12838
ACSM1,68019
DUSP26,8585
LEPREL4,10246
LINC00475,18141
TRAPPC2P1,1842
METTL12,2144
RABEP2,20790
RNF114,17508
SLC18B1,29240
AK3,32486
CLCN2,15466
GPR75-ASB3,189720
PCM1,107091
SYNCRIP,35541
AXIN1,65236
LZIC,13050
MYO1F,56657
CKLF,13724
ANLN,63968
MYH9,106740
NUP62,22904
LOC392196,1439
ECI1,11729
SUB1,18580
ZNF189,11779
HYMAI,5833
RASSF7,3054
REEP6,6759
ZC3H15,23202
LOC100287314,7030
RFC5,15536
MIR3655,82
RBM8A,5978
STXBP4,195323
RNASET2,27073
BAIAP2-AS1,5586
WBSCR27,7934
SNORA23,188
FOXO1,110933
SIPA1L2,117531
SPG11,100982
MRPS18B,8688
ZCWPW1,27936
P2RY2,18051
ABCB4,73658
ISM1,78879
C1orf228,50869
NUDT6,30360
TOX4,21984
MGAM,110868
ST3GAL2,59653
ZNF783,22823
CCBL2,57187
GMPR2,6799
REXO4,11978
LOC388796,14779
SNX22,5764
ZFYVE21,17924
YWHAG,32234
AKAP12,118560
IL31RA,71475
ACTR3,68630
ABI3,12998
GPR150,1304
PMS2P1,15667
ZNF320,15174
HIST2H3A,506
MORC3,56457
METTL22,24552
CATSPER2,18267
COX17,7871
UCK2,84123
CD40,11478
PPP1R3F,18249
RNF19A,53091
TYK2,30044
MYLK2,15322
GPN1,22198
SUPT7L,12770
GAPDH,3952
BRE,448285
UTY,232291
AIP,8074
TRIO,365629
IL17RB,19250
PRR5,69134
TWF2,10557
C19orf48,7013
ZNF738,29649
TPM3,36829
SOCS3,3299
SRI,21876
TBXAS1,242078
ZMYM6NB,3821
PDIA4,25628
ALOX12B,15067
ADCY10P1,39800
PSD,17317
NRBP2,7391
VOPP1,101894
NOTCH2,158141
RPL31P11,1547
MYO1G,16444
MAP3K19,59975
TRO,10870
SLC46A1,11569
POLR2J3,34702
RABL5,8445
GYS1,25228
NEK9,44960
CA1,49884
KDM2A,138810
GALK1,7262
TLR7,23278
CNPY4,5863
CCNH,18771
MMP25,14042
PRKG2,116378
MAGI3,295070
HADHA,54090
ZNF254,42678
TELO2,17108
FBXL19-AS1,3950
C6orf57,21981
CDC34,10354
TMEM209,40783
LRRIQ3,172169
QRICH2,33631
HSD17B12,176026
SHOC2,94124
DECR1,50647
PDIA3P,2098
PCSK2,258470
ZNF148,149685
LRRC8B,73023
ZBTB5,27307
CLEC4C,20058
TMEM175,26181
LACC1,14648
TIPARP,32352
C9orf64,18436
SDAD1,41045
KCTD18,21108
CTSF,5112
SAP30,6590
CCDC85C,93124
MPZL2,11120
FXYD6,40510
ATP6V1E1,36685
GTF2H2B,34992
MIP,5149
ARFGAP1,16977
ARPC2,37197
TMEM126A,8634
PPP6R3,154615
CD300E,13875
GABRA6,16940
KEL,21302
TMEM192,36794
RPUSD4,9598
RBM26,85823
RPL35,4082
SF3A3,33109
ZNF92,27230
BBS7,46168
PANK1,66075
C1orf145,10158
TTC8,53357
SLC16A5,18433
ERO1L,53814
ACHE,5926
CKM,16564
TCF25,37798
EHD2,29790
CNOT8,18154
PARD6B,22197
SNORA40,126
ATP6V0D1,43172
LYZ,5879
SCFD1,113573
LOC100133286,56998
PDE7A,127400
CSK,21114
ADORA2B,30979
ZNF10,28835
NAT10,41347
COPS5,19247
ANKRD28,192309
CPNE1,38925
ARNTL2,92959
LRP11,45586
PPCDC,27140
DPM3,629
VEGFA,16277
SSBP3,179897
NDUFAB1,15304
RPP30,36603
SLC47A1,45179
GALNT11,96649
MTMR12,86003
ZNF252P,29310
C16orf70,38527
SPRED1,104398
NFKBIL1,11978
YPEL5,13649
MED26,53297
SBF2,515540
LOC100506233,1646
RNASEH1,13249
ATP5I,1902
PIGM,4321
PEMT,86140
CCDC121,3392
NTAN1,18226
VIM,9334
RIPK3,4015
DET1,34198
FURIN,14802
WDR17,116994
YIF1B,12406
METTL20,21922
ANKRD52,20552
TIMM10,2296
E2F8,17592
MMS22L,141015
BNIP3L,30121
ZFP64,107974
CALM1,11292
EEF2,9407
MTF2,59846
KRT18,4030
TYW1,242715
SGK196,29666
GARS,39467
GOT2,27211
LOC100128593,3750
MBD1,14892
NCOA5,28954
SUPT5H,31122
SART1,18447
GLYCTK,7436
GLTSCR1,95081
CHAF1B,31436
CLOCK,119008
NDUFA4,8233
ALS2,80909
PIH1D1,5565
HIST2H2AB,447
MPV17L,13932
RIBC2,18730
PMM2,51524
LUC7L3,33146
BMF,20994
C15orf61,6119
TMCO6,5977
OSM,4010
ZNF865,4948
RPF2,43503
APLP2,74990
PLAUR,24251
C3orf18,13002
NAA10,5327
LINC00338,6343
SLC38A2,14674
ZNF790-AS1,30561
RBM11,12227
SMAD4,54828
COQ2,21090
LAMTOR5,6669
TMEM108,359448
TCEAL3,2021
POC1B,106541
PCSK6,186054
PLA2G1B,5678
HDAC5,46893
MLK7-AS1,84323
DZANK1,83818
CLTA,21206
PTGR2,33634
FLJ46906,5620
LOC100130776,2116
DSCC1,21989
HSPG2,115013
ARPC4,14610
POLR1A,79827
LOC440288,20027
BAIAP3,15836
ERLEC1,31888
CERS2,9830
ATF6B,12972
DIP2A,111064
MEF2C,185864
THOC5,45580
ARHGEF25,7065
HOXB4,2874
ZYX,9846
MRP63,2848
CKS2,5505
CACFD1,10822
FXR2,23667
BLM,98107
WDR60,89614
SDF2,13833
OXR1,482515
LOC440894,8337
SOAT1,64965
TMX2,28450
LPAR1,164311
FKBP1A-SDCBP2,83261
ZNF586,10964
CCDC91,292966
TWF1,12652
AIM1,58604
LIG1,54857
SLK,59872
TOMM7,10220
PATZ1,20459
KIAA1551,33690
HIST1H1E,784
PARP4,91879
KPNA5,60663
LOC286467,127993
BLOC1S3,3055
NLK,153716
EMD,2286
TLN1,35058
EZH1,44778
MED21,8151
FAM47E-STBD1,59430
SDHC,50369
MGRN1,66150
DESI2,55982
NSUN5P2,6470
CAPN11,25591
SLX1A-SULT1A3,9896
CCR5,6064
PRDX5,3735
METTL21C,8774
SAMD12,432489
PQLC2,17054
FBXO3,33581
NUDT5,28570
C19orf10,12858
HCFC1,23811
GOLGA4,123688
CCDC144B,87815
DLX4,5761
IK,14681
BRI3BP,32155
TCF3,43039
ALAS1,16244
SESN2,23039
KIAA1984,11403
FAM105A,34396
PTTG1IP,24318
ARFIP2,6796
FBXW5,4321
C1orf56,3612
KCNMB4,68010
SPOP,79279
ZFAND2B,2867
HCCS,11798
IGHMBP2,36750
RPS21,1455
AGA,11728
MINA,30634
MASP2,20716
H3F3C,1056
ZNF518A,34045
AKAP13,368742
RAMP1,52568
ATF5,5234
ATHL1,6550
BOC,74930
SFSWAP,88651
BCL9L,14762
POLE2,44828
FAM134C,29919
GAS2L1,5777
ARHGAP17,95963
DHX58,11329
LOC100129931,15677
PEX11G,12168
BMS1,52431
ZNF230,10995
AGK,103131
HHIP-AS1,3103
PHKA1,135365
HBD,1799
DGKZ,47649
LRPAP1,28900
CEBPD,1250
GRAMD1A,26127
PACSIN2,145412
PLXNA3,15362
TMEM67,64388
MTRR,32018
LRIG2,51511
ZBED4,36229
CCDC6,117908
TOMM40,12469
PLSCR4,58842
IGSF9,18557
GHDC,5445
TNS1,144284
DOCK7,233642
AZU1,4186
ZNF613,18323
TRIM54,25010
PSMA4,8816
GABPA,37513
PDHB,6222
REL,41426
KLF2,2688
MNF1,14990
FUCA2,17071
CXCL2,2243
PTGFRN,80283
SEMA4C,10262
NCBP1,40324
REM2,4457
PION,105649
COMMD4,4240
SLC2A14,59098
C6orf120,4145
PPP1R3B,15388
TBC1D8B,73458
FAM21A,65585
KIAA0040,36106
LOC440354,38330
LINC00426,33629
SLC39A11,446768
UBE2F-SCLY,132467
RFX3,301336
MAP2K7,10598
ZNF443,11406
NR1I3,8544
SCP2,124388
KAT6A,122508
DVL1,13834
MC2R,33492
ZNF383,17208
ME2,70730
NEK4,60169
LMLN,83520
NPW,1235
CLIC1,5983
LRRFIP2,123734
GSS,27365
PCNA,11669
CCNF,29464
STPG1,58098
ZNF229,22239
PPIL6,50956
RBBP7,25759
HK1,131881
OMD,10309
INTS1,34105
SLC12A2,105897
STK33,202085
TSPAN9,209209
INVS,201924
CTSH,23328
ARRDC2,12967
CWF19L2,131500
C14orf142,4222
HENMT1,13238
SLC16A4,28231
FGFR1OP2,28276
POLR2D,11889
FNIP2,137772
AIFM1,36523
EPDR1,31379
TXLNA,18541
ARRB2,11006
NABP1,10450
TMX1,17486
IL10RA,15093
FADS2,39112
TMEM117,553579
PPM1A,53335
SSTR5-AS1,14649
FCHO1,40850
SHCBP1,40843
CCR2,7178
YIF1A,4587
PPM1N,4033
SUV420H1,57277
TRIM28,6246
GUCD1,14869
TRIP6,6126
MTPAP,39537
ZXDA,5203
TAS2R50,999
BRSK2,72790
TOMM20,19598
NUDCD3,108420
SLC48A1,9569
COX10-AS1,40166
CCR9,16671
BUB1,40275
MSH6,23871
TRIM39,16885
RFWD2,262403
FKBP1B,13966
SHE,22572
ZNF75A,13143
NUP160,70387
KATNBL1,69422
ECHS1,10921
C7orf41,27829
LILRB1,20375
NUDT14,8386
SYNC,22854
DCK,37364
CHMP6,8292
CDC45,40721
TMED1,3869
SPIN2B,1864
BOLA1,1193
DUSP1,3110
TMEM18,9466
SNRPF,7529
LMOD3,15707
PCGF2,14408
RNASE3,945
SUMO1,32419
HTR7,117095
RETN,1368
FBXW2,36486
PBX3,220038
IL5RA,44050
SIKE1,11203
PRSS57,9915
CXorf21,19092
SAMD3,221123
RRN3,34279
ABRA,10761
RGL1,292458
WASF3,131242
NCKIPSD,12056
KYNU,164690
DIAPH2,915935
PHF10,20104
ITGAV,90838
ZNF512,40246
LOC100130872,13179
TSTD2,33600
GOT1,33903
BTBD8,67539
STRN4,26952
GYLTL1B,7451
AP3S1,72159
MBTPS1,63148
ZNF747,3415
TMEM129,5405
SYNPO2L,11188
CELSR1,176336
FAM177A1,38476
PEX19,8342
USP16,29869
EFNA5,294006
FAM134A,7258
RELT,21114
MRPL42,36282
RSPRY1,52706
PIK3AP1,127210
CRADD,173380
TFRC,32877
PTPN9,112163
LOC100130331,66144
POLR2I,1595
GRINA,3357
DUSP28,3960
DOCK3,708957
CD81,20102
TBC1D10C,6177
A2M,48254
RBM10,41597
HSH2D,24539
SOS2,114253
NAGS,4404
COMMD3-BMI1,15102
ZNF711,29371
C16orf58,18893
RPPH1,340
APC,138734
MKI67,29543
DTX1,40171
SIPA1L3,301140
SPIRE1,211401
CERS1,27592
KANSL1,195458
PHRF1,35739
NR3C2,363757
SNORA76,132
NRG4,70457
CASP3,21779
SNAPIN,3198
PCDHA5,190568
FAM135A,147770
ASNSD1,9432
DUSP23,1574
DOC2A,5566
GTPBP10,44790
EFCAB9,9282
ERAL1,6029
MYCL1,6591
CTRL,2305
MAEA,50253
LOC100131234,129426
LOC100506810,7601
TMEM106C,5331
MIOS,40494
TNFRSF10D,28442
TYW5,26825
DNAJC18,29322
C1RL,14723
PSMB7,62008
PAIP2B,44365
ENHO,1997
SBNO2,66649
SNRNP200,31233
KRBOX1,6449
SENP7,188967
NPAS1,24874
TMEM201,26003
KIF21A,150162
RANBP3,62168
KIF18A,87583
MIR1181,80
ASPSCR1,39856
FUT10,102320
APCDD1L,55523
NT5DC2,10708
NOV,8126
PHF15,57120
SDE2,16663
MKI67IP,9982
CCDC106,5572
SNX13,149746
ZNF250,24510
BAK1,7747
BACH1,62997
NOP14,25454
KPNA6,68524
DVL2,9202
NSMCE4A,18140
NDST3,224289
DERL3,4509
ETNK1,65532
CPPED1,144088
ADPRHL1,31579
KAT2B,114372
EFCAB4B,137872
PCP2,2133
P2RY1,3107
GTF2IP1,52341
RUNDC3A,10111
NMRAL1,13201
CENPO,29070
INSR,181745
PSMC2,21871
PRKCD,31510
THAP8,19777
ADAMTS20,197712
TEF,31995
SGPP1,43821
BLVRA,48669
ABCD1,19893
LRP3,14174
DBNL,17076
LOC150622,47531
PLBD2,31087
SNX15,13164
C1orf112,57679
WDTC1,74117
ACTR6,24337
CBR4,22726
SMYD4,50346
TSPAN11,69699
PNPLA2,6670
DYNC2LI1,35971
FKBP11,3588
SLC35A1,39414
GBGT1,10961
INMT-FAM188B,140251
TACO1,7494
MORF4L2,12660
CDC42,40316
TICAM1,15818
KIFC3,44310
FDX1,34947
RRAGA,1649
NYNRIN,20502
ARID5A,15907
RRP36,7952
SCIMP,25939
FLJ45340,19757
CCSER1,1474686
CATSPERG,35146
CD84,38422
FUT4,6047
FAM66A,48982
CABLES1,125906
Sep-01,4717
FBXO34,82308
NCAPH,39790
C7orf25,2817
FZR1,30460
LOC100132352,21831
FAM96A,21446
DNAJC5,40929
PLEKHB2,45005
TERF2IP,9706
ERCC8,71246
DDX26B,61905
GPSM1,32125
SAT2,1638
PLP1,16108
PIM2,5954
CDH24,10477
EVPL,20580
MRPS7,4708
ANK1,243536
SCN3B,25420
WDR38,4474
SLC10A4,6181
IFNL4,2542
SMC5,95911
ADAM8,14487
TOP3A,41086
KAT2A,8253
RASA2,125271
ZNF470,15372
RANBP10,83550
YTHDF3,44225
AQP3,6479
NASP,34918
BTBD7,95489
LOC643669,3178
CKAP4,10054
LOC100289137,4805
BRK1,11541
PGAM2,2860
TLR3,15943
ELOVL7,92485
ITSN1,246825
GGT5,25488
FAM98B,30735
SELK,6763
AKAP8,26280
COL17A1,54592
EXOC4,812690
C3orf14,13924
RUFY2,63776
RMDN3,19372
TMSB15B,3363
KIAA1656,9094
POMGNT1,31624
FYTTD1,34893
MAP3K8,27812
PWP1,26667
UBE2L3,74587
C11orf24,10666
FRS2,109433
SIN3A,86404
MLL5,99895
PBX2,5453
SLC25A22,7794
ZNF788,22416
CEP290,93203
PNRC2,3648
PALB2,38195
APITD1-CORT,21901
RPS13,3281
TPI1P2,2016
XRCC2,29663
GUCY1B3,48657
EZR,53683
C8orf33,3592
PANX1,53043
SLC24A6,36354
TADA2A,70249
FOCAD,337645
RBMX,11586
CAAP1,52143
RPL10A,2380
STL,54781
HEMK1,15512
TRAF3IP1,80356
TFB1M,58353
ENO1,18092
KLB,44680
NETO2,62505
KDM5C,34101
R3HCC1L,110273
COQ10B,21620
PANK2,35016
THOC2,132492
FAM196B,117025
TFR2,21134
HDAC4,352779
RAB4B,18725
FAM131B,9347
FAHD2CP,12585
C16orf45,153791
IFT122,80223
PKDCC,10507
MESDC2,14110
NKTR,48086
NKAIN1,60142
SCYL1,13634
CUL1,102269
MFSD2A,14844
ASCC2,49696
NOC2L,15096
C22orf24,11829
ALOX15B,10093
ABCF1,20139
TRADD,5723
SASH3,15284
CD2AP,149471
TBP,18537
PTS,7607
C9orf172,2930
INTS7,95261
ARL1,14669
HIVEP1,152508
PBK,28211
G6PD,16181
DOPEY2,129733
FANCF,3308
STK11IP,18577
FGD1,50712
METTL2B,26195
TMEM216,6503
CERS4,53087
MFN1,45528
PPCS,3913
ARHGAP25,92044
IGF2BP3,160167
INPPL1,14306
MTHFS,53738
ICAM1,15774
OSBP,41746
G6PC3,5614
CCDC125,39891
SERPINB6,24006
RBM12,16031
EBPL,30813
C16orf52,76516
PGS1,45904
EIF2B5,10289
GPR22,5623
UBE2D4,29700
FAM118B,51260
C17orf62,8244
Sep-06,77645
AKR1CL1,30495
UBN1,34451
NEURL4,13687
OFD1,34648
SLC27A4,20910
UBXN6,12788
TWSG1,67653
WFS1,33415
ATP6AP2,25672
LAMTOR4,5303
TMEM160,2715
HIST1H4J,355
VWA2,55246
LOC389641,5705
RALGAPA1,270874
TMEM72,23878
CRIP1,1867
TC2N,87613
GRPEL2,9169
RPL13,6172
MAP6D1,9729
SUSD3,26426
LRRC2,51162
TMEM204,26839
NDUFB11,2994
AUTS2,1193980
CDKN2B-AS1,126303
ZDHHC24,6936
TIGD7,6631
RAD18,86279
INO80C,29664
SMPD4,31358
GAMT,4544
DENND1B,270744
PCGF5,121319
ASCL2,2454
CMC1,78139
CSDE1,41137
CDK6,231706
BET1L,4498
ERCC4,32191
ZNF69,26695
APPL2,62933
IPO7,63505
RAB38,62220
RBM45,17200
APBB2,404591
ITGB3BP,82503
ZNF283,21577
DAK,15577
RIC8B,114695
LOC100505738,5409
TMED11P,7967
USP53,82891
ANKRD10,36529
INMT,5467
TMEM214,8791
KLHL5,81402
HERC2P9,30822
RFC3,148489
TMEM135,290990
MGAT1,19596
ANKS6,64503
RAB27B,67039
TNFRSF13C,1785
TMC7,80006
MRPS28,111411
HIST1H2BI,436
LSM3,19641
GSTM1,5949
KIAA1731,68706
C5orf56,65271
PITPNA,44827
PLA2G15,15714
LIAS,18606
RPS6KL1,18488
Mar-07,56074
Mar-02,25712
ABHD3,53908
BAALC,89612
NKX2-3,3590
NOXO1,2632
OR1J4,941
PELO,14678
LINC00235,560
ZFP91,42436
PI4KA,151121
FBXL20,149012
PLK2,6156
NID2,64426
MRPL40,3560
ALOX12,14671
DCAF6,139286
KIF27,84765
BEND3,49251
DMC1,51235
MFSD12,19308
FZD3,80063
SESTD1,162931
ADAR,45922
NUCB2,54784
ABHD15,6353
NMNAT3,117862
LCAT,4228
SEMA3F,33660
CBX3,12396
EEF1E1,29235
MTF1,50053
EMID1,53685
MREG,71032
FGD5-AS1,5662
CSTB,2710
IER2,4436
TMEM63A,37187
CPOX,14165
SYNGR2,4338
KCNS2,3773
ZBTB8A,66770
DOCK5,228332
TRPV2,21461
TSPYL2,6186
IL6ST,59896
TSSC1,188912
GRHL1,50620
ZNF682,35050
VPS25,6163
APOL1,14460
SNX10,82434
IFT27,17931
UBE2J1,26275
SMEK2,69282
CAPN5,59206
LOC116437,47920
MED31,8321
MDFIC,97761
RINT1,35592
PRKRIP1,30325
DHX35,77385
FAM166B,2069
SDCBP,29691
MOSPD3,3275
EIF2A,39229
DYNC1H1,86270
RNF141,29549
AGXT2L2,24263
FCHO2,134541
RNF144A,126786
TES,48290
ERH,18181
RNF25,8194
LPHN1,58448
FAM53B,125067
NIN,111358
C19orf70,2478
KLF4,4914
SIDT2,18222
ORC3,77387
ZBTB46,61835
SLC4A11,11824
HSPA13,12072
LAMTOR2,3784
SPTY2D1,28072
TMEM38B,82086
CEBPB,2107
GSK3B,272462
MRPL12,4156
CUX2,316530
CRYGD,2982
FAM118A,32755
RRP8,3736
AAMDC,51190
MALSU1,10240
TRIM22,21276
IL17RC,16547
SRSF11,46336
DEXI,13509
PSMB9,5690
VRK1,84267
LHPP,152369
LOC283922,35849
LRCH2,123452
BRD9,29089
HAUS4,10914
BMP6,154950
NRIP3,23473
OSGIN1,13110
CCDC22,15060
ZNF675,34309
CYHR1,15716
PTAFR,46770
HELZ2,16153
NUDT15,9579
ACSF3,61954
BECN1,14160
TSR3,2632
KIAA1161,7987
CHFR,47266
SBDS,7898
MRPL4,8096
EXOSC5,10980
BTN3A2,13150
CNN2,12766
RPS16P5,3157
DGCR14,14398
PTPRCAP,2172
PDS5B,191594
PEG3-AS1,1313
PGBD1,21012
TAX1BP1,90394
LOC550112,21226
CAPZB,146799
KEAP1,17258
PLEKHA4,31530
USP1,15500
MGAT5B,81673
PAG1,144257
DFNB59,9947
SYCP2L,87477
IL13RA1,66937
ZNF256,6876
PTPN21,89001
DCTN2,17281
RPL31,17464
MRFAP1,2652
SUZ12P1,60442
HM13,55129
TMEM56-RWDD3,127030
EYA3,118293
TTLL4,44570
MCOLN2,71530
HIST1H2AG,497
KIAA0226L,45498
ZDHHC17,89620
RRP1B,36528
RGS18,27353
FUZ,6443
ZNF234,18752
ANKRD26,96382
EREG,23617
LOC100130476,44563
DDX3X,16873
ZNF589,29883
INPP1,28195
ZNF821,24510
PGGT1B,52042
ZXDC,38318
SNHG16,7584
PI4K2A,35744
P2RX7,53732
TEKT4P2,61404
ZNF274,30531
KHSRP,11703
FAM111B,20230
CYB5D1,4536
ASB16,8377
BICD2,53438
UBE2V1,34835
THOP1,28093
HNRNPA1P10,4130
KIF11,62327
TFDP1,56785
PUM1,134211
PTCD1,22100
C20orf112,142013
ABCB8,19359
GET4,19880
ALDH16A1,17832
DROSHA,131680
MIER3,32525
SMARCD3,38172
ATP5L,8458
MSL2,46928
COA1,98389
FRG1,22385
FAM101B,5960
SNORA52,133
TAF15,37787
RPS10,8671
CDHR2,53257
SLC22A4,49754
ZNF618,180313
A1BG,6693
BLOC1S5,50847
XRRA1,108277
BCL3,11323
SH3KBP1,353661
GPT,3090
CLDN7,3290
ARMC8,111113
RPS6KC1,222220
ZNF326,33416
AXDND1,189015
BDH1,63540
CHSY1,76209
PCDHA13,130075
DMXL1,177738
CHTOP,12324
PCCA,441422
ZNF7,15703
C5orf15,13208
TM6SF1,29787
RAB3IP,84353
KIAA1586,8639
LOC441242,123873
MTMR11,8248
TMEM219,11022
DGCR11,2213
FBRS,6353
C12orf45,8407
TASP1,249547
WDR47,72012
EPN2,99338
CHD4,37303
XIRP2,371264
APH1A,3810
APITD1,12713
GALT,4009
METTL14,25503
C2CD2L,9734
ST7-AS1,1887
ICAM5,6799
MNAT1,233939
GP9,1608
LOC257358,3669
LRRC27,49396
TRIM33,118382
RPSA,5828
SSR4,4337
C4orf27,28474
TNFAIP2,11112
NOL10,119221
C5orf63,30934
SPPL3,141842
GNB3,7182
JTB,3706
SPOCK2,29998
RHBDF2,30534
CCT3,29454
C1orf122,1653
LOC100130581,19053
GPC6,1181195
CEP57L1,68759
MLF1IP,40067
PIGH,10994
NME3,1389
ATP6V1E2,8110
PDLIM2,19284
NSF,166793
FMR1-AS1,12727
MROH6,6565
FAM160A2,23377
ENPP4,16735
EIF4B,35931
C7orf60,120730
DNAJC6,151175
FAM229B,15319
HIST1H4D,366
ABCA7,25468
SLC7A6,37307
PSEN2,25531
TRIM6-TRIM34,47760
GBP5,13910
RNF149,33115
CWF19L1,35382
LYPLA2,4383
APOBEC3F,15302
POM121L10P,13981
C5orf42,143200
ANKRD32,77182
ZEB1,210641
SLC2A5,32882
MUL1,8733
HDAC9,910420
ALMS1,224160
BMS1P4,31363
TMED7-TICAM2,47537
RPL9,4823
ANGPTL1,21545
VPS13D,281985
IQGAP2,304808
PAXBP1,37959
LIN7C,12361
TMEM223,1699
SPATA7,52816
TAZ,10186
ZNF211,9612
IKZF5,18044
ZNF280D,103413
ZNF268,25702
C1orf229,2257
ZNF343,27311
PARD3,705765
NCOA7,150869
PKN3,18397
SMU1,34864
PEX16,8454
GPR180,32795
CD27,6833
IGSF8,7489
PHF13,10337
MRPL28,3185
ATN1,17858
PAK2,92790
FLJ37201,6628
RBM6,137208
KLHL13,219527
ACTL6A,25485
TIMM44,17105
DPF1,18668
TNPO2,24802
MRC2,66200
SHISA5,33062
HRH4,19328
PODXL2,43651
SLC4A8,124446
GANAB,21806
POLD3,50530
TOMM5,4224
LOC100129726,1644
POC1A,79457
FAM211B,7444
SLC35B1,6592
TTF1,31301
NACC2,88748
C9orf66,2785
C18orf56,8720
SDHAP3,22573
RALBP1,62576
DDAH1,259878
PIN1,14482
CAMKMT,410688
C12orf66,29657
PRKAR2A,97177
ENGASE,13666
GATS,71577
LPHN3,575329
AGPAT6,46813
KIFC1,18386
HIST2H2BA,8808
ZMYND12,25937
ERO1LB,66917
PEAR1,22703
TYSND1,8759
LARP7,20628
EIF2AK2,51906
KRR1,13999
OTUB1,12567
AMICA1,31367
GMFG,7727
CD300A,18415
KPNA2,11122
MYLK4,87291
PIK3CA,86186
SERPINB1,9717
SNRPD1,17948
USP9Y,159608
CYP3A7,30159
SPDL1,21143
CPNE8,253418
GCNT2,108033
ERMAP,27884
CYTH1,108246
EIF3A,45793
SIX5,4454
TMED4,3065
PPP1R8,20931
GFM2,46011
VPS13C,208074
GOLGA8A,58397
MYH10,156556
NREP,247628
RPS5,7535
KIAA0922,170364
FZD8,3185
FBXL17,523065
SNHG7,3590
MCCC2,71415
DPY19L2,109661
NOS3,23543
MFSD11,42689
MTCH2,25348
MATN1-AS1,7974
SLC35F6,16957
CHAC2,7358
KDM1A,64243
SRSF7,7895
KLF7,93108
FDFT1,36628
MVB12B,180197
NUFIP2,38312
MRPS31P5,26757
C3orf45,9027
NRD1,89743
VPS37C,31188
PADI2,52692
TM4SF19,14874
UBE2T,10309
ELMSAN1,72071
PABPC4,16036
SIK1,12604
AIFM2,20667
BAHCC1,59818
ZMPSTE24,36134
RHOBTB2,32780
PAX8,62924
SGSM3,39698
SYS1,14865
VEGFB,4680
INTS12,26096
FREM2,200094
ZBTB2,27427
AGPAT5,53143
GYG1,36261
KCNA3,3345
DENND5B,208795
ANAPC15,3189
DNAAF3,8061
FAM172A,493973
DLEU2L,1656
H2AFX,1592
IRF8,23437
SRRM2,19083
HEBP2,9246
MGMT,300329
LOC100127888,3594
NLRP6,6818
DNPEP,14482
FAM199X,29426
RIN2,115938
SMC2,47159
CAPRIN1,50927
SMAP1,194237
PRSS30P,3178
SP2,32807
GRID2IP,54658
UTP23,8179
BAG1,12289
ZNF257,38637
PREX2,279294
WDR24,5698
CMTM8,131642
XRCC1,32266
ESPL1,25344
CIR1,47565
NCK2,149210
CCDC103,3967
KLC1,72363
GGTA1P,44987
FAM19A5,262456
SIGLEC17P,6195
LOC401557,5697
RNF207,15170
CEP70,99942
NFIA,385514
CMBL,30461
THAP1,6657
TMED8,35282
ZNF614,15103
DDX21,28946
PUM2,78691
COL4A3BP,140878
SEPHS2,2272
ZNF131,54181
INPP5D,191513
SYDE2,43372
ELMOD2,29612
NRARP,2620
RUNDC1,13125
POPDC2,18496
ACBD4,11576
C16orf90,1937
TAB3,61952
TAF1D,5607
HIP1,205664
MEPCE,5336
SFPQ,9542
GFOD1,124282
NSUN6,106286
C11orf94,747
C14orf119,4982
HERC2P7,3221
FAM76A,36933
C10orf10,2621
HDAC10,6221
ORMDL2,3153
NRXN2,117014
NUMB,183368
HSPBAP1,53822
TWISTNB,13575
TUBB2A,3881
HSPA4L,51073
VILL,13598
ADC,39281
COPG2,207518
RAD50,87697
GGNBP2,45539
ATP6V0A1,63735
XYLT2,15119
SNTB1,276324
PFAS,21213
UBE2H,122227
FRMD4B,216284
THEMIS,210437
FAM222B,86845
PLRG1,15436
C7orf63,65889
RASGRP3,128382
DDTL,5722
PATL2,11156
L3MBTL1,34215
APTX,29035
DDX55,18810
ARL8A,11339
MTR,108700
SGCB,17624
LOC729683,2347
NGFRAP1,1733
THADA,365210
GTDC1,386502
SGOL1,25639
ATF2,95956
AS3MT,32445
ZNF358,4907
FAM46B,7822
