"","Gene_Symbol","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","Gene_Length"
"10506","ENSG00000164023",193,83,22,5,2,29,3,0,46,91,48,45,0,0,4,0,0,20,90,501,2,3,295,257,42,36,111,71,25,26,90483
"10507","ENSG00000164024",903,853,235,20,28,306,45,2,207,884,367,133,0,3,0,1,0,408,784,912,22,589,972,789,220,376,581,419,284,629,67172
"10508","ENSG00000164031",867,911,202,46,60,235,27,367,119,602,363,225,2,5,38,0,2,208,740,897,86,127,969,964,260,458,625,446,115,313,47169
"10509","ENSG00000164035",5,4,0,5,1,2,0,0,0,0,0,2,1,1,0,5,0,0,1,2,0,0,4,3,0,0,1,1,1,1,122752
"10510","ENSG00000164037",17,18,10,0,0,0,0,0,0,41,6,1,0,0,0,0,0,17,24,13,0,118,11,10,9,21,15,11,7,5,134691
"10511","ENSG00000164038",189,322,62,0,4,97,10,0,88,73,156,70,1,2,11,0,0,139,215,158,0,1,248,139,50,101,123,134,69,178,51518
"10512","ENSG00000164039",78,81,4,29,2,31,0,0,21,53,31,26,0,0,0,0,0,9,89,195,0,74,142,36,17,48,36,27,19,66,22242
"10513","ENSG00000164040",557,504,200,17,141,74,21,3,94,407,271,167,17,32,9,0,0,393,462,563,58,905,531,348,233,195,282,225,145,592,19592
"10514","ENSG00000164045",7,15,44,0,1,1,8,3,9,7,1,16,0,0,2,0,1,1,48,24,1,0,9,11,1,4,1,6,4,232,31133
"10516","ENSG00000164048",817,963,684,186,171,249,66,203,345,631,340,330,11,2,23,5,0,679,589,591,1,160,913,583,174,399,739,380,361,455,29883
"10518","ENSG00000164050",180,137,59,0,17,61,20,8,89,51,112,66,3,1,11,1,1,225,62,100,0,1,143,91,33,107,175,436,77,62,26199
"10519","ENSG00000164051",121,90,134,12,27,25,20,0,98,163,86,22,1,0,9,0,1,243,104,88,1,74,131,99,96,123,155,81,136,263,7949
"10520","ENSG00000164053",308,416,249,3,141,143,78,5,240,410,274,279,1,0,23,45,0,431,197,193,229,133,384,204,208,308,308,199,212,342,18940
"10521","ENSG00000164054",5525,6262,17881,3635,6862,2047,3600,323,6671,14397,5351,9449,117,490,449,148,469,10664,6655,12290,840,20008,5623,14447,42699,11684,10715,7061,9375,14685,33062
"10522","ENSG00000164056",319,161,16,27,27,36,5,5,13,78,47,26,0,1,26,0,174,61,122,7,1,176,117,76,26,67,46,61,19,50,6965
"10523","ENSG00000164061",41,7,1,2,1,0,0,5,10,2,12,13,3,5,8,2,0,13,17,13,1,12,12,15,4,23,9,18,13,2,117060
"10524","ENSG00000164062",1569,1868,2396,417,479,1499,540,121,1267,2961,1840,1506,34,246,14,69,51,5302,1254,1970,0,3323,1763,1326,1032,1807,2496,1307,1616,2207,9499
"10525","ENSG00000164066",8,22,1,10,8,0,0,2,0,5,0,1,0,5,3,1,7,3,8,12,1,2,6,5,2,1,1,10,4,3,83847
"10526","ENSG00000164068",1530,1628,1272,55,254,1256,206,42,771,1411,1297,738,53,171,95,1,1,2017,1173,1664,104,1488,1631,1503,679,1954,2398,1172,1458,1442,32012
"10527","ENSG00000164070",11,5,4,17,8,41,1,1,1,8,2,5,1,8,3,6,6,1,2,2,0,1,2,7,1,2,0,9,1,1,51073
"10528","ENSG00000164073",283,308,100,3,0,12,16,1,75,170,117,21,2,0,0,0,0,49,191,309,0,48,296,213,127,142,166,148,52,124,48179
"10530","ENSG00000164077",167,172,304,174,302,61,60,0,130,480,250,379,2,1,4,16,6,591,122,235,0,185,277,198,74,154,194,192,192,366,21143
"10531","ENSG00000164078",17,14,5,0,0,1,0,1,6,12,25,11,3,2,1,5,0,20,6,6,0,1,8,19,4,21,15,11,9,7,16870
"10532","ENSG00000164080",1826,1960,859,1040,1348,616,195,57,640,1586,843,1019,93,96,129,200,472,1557,1437,584,119,1682,1062,787,304,1210,1934,1171,875,2135,122016
"10533","ENSG00000164081",1020,1152,1283,748,917,748,294,65,858,1642,1221,1419,15,137,28,21,774,2150,921,1099,658,1451,963,575,587,1077,1283,859,837,1414,33117
"10534","ENSG00000164082",48,121,37,2,1,70,6,1,49,23,213,11,1,23,1,0,0,184,136,48,0,2,58,46,4,107,137,64,87,99,11544
"10535","ENSG00000164086",523,373,513,5,53,46,57,77,218,840,417,201,31,39,86,8,2,679,561,1119,98,338,511,367,83,231,380,268,601,577,7524
"10536","ENSG00000164087",59,44,22,62,21,0,14,1,27,44,40,4,0,2,0,0,0,40,57,81,0,1,48,77,27,57,52,30,30,235,79457
"10537","ENSG00000164088",3136,2852,2258,811,460,1138,459,85,1943,3054,2201,2017,151,122,90,461,0,4217,1795,3836,97,3564,2947,3028,1393,3397,4815,1831,2204,4194,4806
"10539","ENSG00000164091",5250,3879,3455,1627,906,1219,625,265,2188,5605,2876,2276,97,209,240,2192,1127,4539,3391,4197,1069,2715,3974,4389,2005,2635,3834,2534,2699,6261,24221
"10541","ENSG00000164096",1801,1476,1383,1757,558,424,376,4,1226,1732,1448,3545,4,126,98,56,78,1930,1402,3811,255,2287,1410,3272,7478,2059,2138,1279,677,954,8026
"10542","ENSG00000164099",3,1,0,0,0,0,0,1,0,8,0,0,1,7,0,0,0,0,1,2,0,0,0,0,2,0,1,2,0,5,72729
"10543","ENSG00000164100",5,0,0,1,0,0,0,4,0,0,1,4,5,10,20,2,1,8,0,4,0,2,4,3,1,2,8,1,0,0,224289
"10544","ENSG00000164104",5059,3488,1639,1257,941,1220,474,143,1770,3796,1550,1262,54,84,413,388,4,2117,3368,4016,0,2118,2830,6833,3148,1793,3269,2347,1178,5938,3068
"10545","ENSG00000164105",157,98,89,0,29,51,20,0,99,131,72,238,0,21,1,197,0,140,207,348,0,223,212,191,172,54,78,62,26,84,6590
"10548","ENSG00000164109",112,130,6,3,20,57,8,1,24,115,40,47,1,0,0,1,0,53,115,85,0,2,106,68,57,46,51,47,45,372,7434
"10549","ENSG00000164111",3973,3134,3213,372,776,1388,502,17,2870,5307,1273,2021,31,115,109,115,27,5684,3451,7293,73,6431,3543,4756,3788,1606,2780,2413,2465,6902,28995
"10551","ENSG00000164114",102,106,13,19,33,27,0,19,9,55,38,36,0,0,0,163,1,21,52,50,0,227,128,73,13,18,35,49,9,3,34310
"10552","ENSG00000164117",273,247,128,0,0,51,16,0,65,267,75,90,0,0,0,0,0,117,120,251,0,0,244,219,144,82,150,108,46,182,47592
"10553","ENSG00000164118",319,311,194,1,0,166,16,0,45,214,112,40,85,0,0,0,0,82,227,196,0,0,294,408,73,117,195,186,47,153,49703
"10554","ENSG00000164120",150,91,20,0,0,3,2,0,14,78,35,30,0,3,2,1,0,45,111,113,0,346,94,84,35,55,59,45,21,65,32721
"10555","ENSG00000164122",1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,55547
"10557","ENSG00000164124",65,33,19,6,1,2,2,0,3,127,15,13,1,0,0,3,617,39,52,167,0,2,98,100,32,18,46,34,11,38,45038
"10560","ENSG00000164134",821,880,253,235,102,273,29,170,238,723,535,253,47,48,81,229,1,340,726,495,165,179,932,741,281,367,442,430,143,321,89259
"10561","ENSG00000164136",270,136,183,0,15,205,6,0,92,166,174,61,1,1,2,0,1,67,248,324,0,101,286,217,165,154,309,123,54,230,97391
"10562","ENSG00000164144",393,597,206,64,47,78,23,2,197,604,138,137,0,44,40,0,0,186,412,1098,0,141,798,1427,1556,328,591,330,146,201,131951
"10563","ENSG00000164161",5,5,1,4,1,4,0,2,1,1,1,2,3,1,1,0,0,0,1,0,0,1,1,3,7,3,3,3,1,1,92733
"10564","ENSG00000164162",143,123,68,18,7,0,11,0,31,120,40,37,0,1,0,1,0,93,107,125,0,0,122,110,49,50,42,46,32,150,103966
"10565","ENSG00000164163",675,429,96,47,43,117,11,0,82,348,134,58,5,29,4,4,338,97,477,509,109,1255,513,352,145,144,165,132,56,90,31520
"10566","ENSG00000164164",2598,1825,212,86,45,524,27,6,212,1186,665,100,7,3,10,0,1,557,1427,674,1,203,1687,1650,907,827,1088,890,211,677,46030
"10567","ENSG00000164167",252,250,355,201,96,82,51,1,232,358,221,220,0,0,1,0,6,420,234,561,0,248,243,349,252,141,151,179,185,317,14378
"10568","ENSG00000164168",607,495,134,12,25,448,35,120,179,551,300,136,17,58,12,0,413,361,400,467,0,116,518,459,210,341,384,230,242,315,18133
"10569","ENSG00000164171",24,31,1,3,0,0,2,0,6,0,0,0,2,12,0,0,2,0,16,14,0,2,6,24,4,3,10,16,9,9,105453
"10570","ENSG00000164172",296,274,185,24,46,85,14,0,114,207,144,70,0,0,0,4,0,127,232,302,0,0,270,188,129,143,162,171,83,147,11703
"10573","ENSG00000164180",465,396,15,2,1,89,6,1,90,160,167,23,1,1,2,0,1,37,279,285,0,0,424,340,78,145,194,180,44,83,73642
"10574","ENSG00000164181",64,85,116,47,17,96,5,2,26,102,16,46,2,19,10,2,54,84,60,171,0,0,40,133,82,30,82,54,7,9,92485
"10575","ENSG00000164182",105,85,118,92,97,118,13,8,42,102,52,102,0,1,6,0,0,132,85,109,0,178,107,62,54,56,114,47,80,91,207908
"10577","ENSG00000164187",393,296,88,1,10,1,2,239,32,199,172,17,37,30,22,0,0,68,322,408,0,158,409,391,79,134,132,152,53,79,48601
"10579","ENSG00000164190",4806,3934,955,706,418,1178,181,78,1037,3080,1950,1114,122,96,260,1115,39,872,3094,4066,231,1195,4095,7901,3340,2977,3846,2449,575,1319,189060
"10581","ENSG00000164209",678,645,103,19,9,131,19,0,169,361,376,199,1,1,23,1,1,250,575,699,0,124,790,583,297,277,373,342,78,236,23730
"10582","ENSG00000164211",1074,564,110,32,5,129,8,2,174,351,232,19,0,2,0,2,3,139,537,331,0,19,794,594,158,190,368,302,72,342,14135
"10583","ENSG00000164219",312,401,238,56,2,51,26,0,180,695,263,86,16,1,8,0,0,100,319,438,0,169,502,610,285,190,172,240,56,170,52042
"10585","ENSG00000164221",146,144,125,59,35,60,4,6,67,324,102,61,1,0,6,124,262,21,118,269,0,51,200,190,58,84,64,70,33,36,29573
"10586","ENSG00000164236",136,52,39,20,1,3,4,46,23,16,40,99,23,42,83,0,0,74,54,84,66,0,46,65,91,67,58,74,42,77,93493
"10587","ENSG00000164237",34,19,0,3,3,31,2,0,10,63,8,4,1,5,0,2,4,2,9,65,0,3,34,8,8,9,0,2,13,8,30461
"10588","ENSG00000164241",232,101,37,8,48,35,5,0,54,85,78,81,0,1,0,1,0,24,56,65,0,0,123,67,50,102,68,59,36,13,30934
"10589","ENSG00000164244",652,591,149,0,17,99,25,1,133,368,487,61,0,1,10,1,0,596,609,554,0,162,657,463,209,458,377,387,253,449,37471
"10590","ENSG00000164251",271,135,295,81,6,0,21,0,109,615,58,109,0,0,12,0,2,132,69,897,0,876,175,615,1427,214,142,141,263,272,16307
"10591","ENSG00000164252",684,592,322,76,44,171,46,10,157,507,459,118,13,4,14,103,0,402,449,805,0,424,684,666,269,360,427,365,103,188,34848
"10592","ENSG00000164253",216,419,101,15,36,221,19,0,109,432,157,101,16,0,7,0,2,203,328,586,109,2,397,407,242,137,225,155,69,144,60263
"10593","ENSG00000164256",0,0,0,0,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,2,0,20982
"10594","ENSG00000164258",212,269,265,73,263,36,20,0,120,469,66,236,0,1,1,0,0,172,198,557,0,209,271,264,201,112,158,140,112,341,122706
"10599","ENSG00000164284",126,155,30,13,10,47,10,0,17,210,46,33,0,0,0,0,0,114,120,193,0,1,123,141,36,52,94,76,98,222,9169
"10601","ENSG00000164291",86,77,12,1,22,0,10,0,34,75,36,23,1,0,0,1,2,51,78,91,1,0,109,68,28,33,42,49,39,29,49981
"10602","ENSG00000164292",104,109,4,248,13,17,9,3,29,138,60,4,1,7,64,4,8,53,91,45,0,4,208,109,41,97,83,102,18,24,65221
"10604","ENSG00000164296",40,60,7,4,4,41,15,8,31,36,31,34,10,5,8,6,2,68,42,34,0,1,58,34,38,44,78,33,39,30,8044
"10606","ENSG00000164300",1162,792,228,378,320,503,36,29,138,487,324,90,3,82,27,3,146,362,585,252,0,112,413,480,193,544,603,439,298,473,144848
"10607","ENSG00000164303",2,1,1,0,0,1,0,2,1,0,0,0,0,0,1,0,2,2,1,0,0,0,0,1,0,0,0,1,0,1,129255
"10608","ENSG00000164304",11,13,0,1,9,0,3,2,10,22,12,12,2,2,4,0,0,0,5,5,0,1,14,2,5,20,18,9,3,1,63055
"10609","ENSG00000164305",998,530,233,38,55,147,21,0,168,834,153,144,0,0,0,0,0,92,485,843,0,143,456,640,373,248,272,238,72,370,21779
"10611","ENSG00000164307",2527,1792,494,89,32,268,55,0,347,2386,685,223,3,174,81,17,0,904,2337,2452,0,586,1652,1494,863,858,986,810,398,1226,53334
"10612","ENSG00000164308",1197,1292,2099,1371,4091,1830,136,251,357,4051,1176,596,0,39,66,1893,775,1306,1034,2085,189,1822,997,1867,1157,1367,697,1210,624,611,43762
"10617","ENSG00000164327",5510,4590,1028,2529,3162,797,177,12,780,2900,1063,931,2,23,83,307,4,366,3508,4268,107,1246,4734,10418,6011,3096,3711,2618,421,1542,136479
"10618","ENSG00000164330",296,266,167,68,37,575,39,57,53,204,316,96,2,15,9,4,0,338,181,86,186,179,142,103,88,193,295,215,131,173,403865
"10619","ENSG00000164331",805,533,328,57,43,72,24,0,218,400,221,238,1,1,7,0,44,327,399,420,0,274,635,557,351,443,475,240,113,344,13486
"10620","ENSG00000164332",437,510,165,45,23,63,47,0,175,783,112,137,0,1,0,0,0,147,353,1004,0,199,530,784,530,213,334,240,69,80,22959
"10622","ENSG00000164338",482,316,71,0,25,112,4,0,54,214,144,59,0,0,7,0,0,94,285,137,0,1,395,208,90,177,158,142,31,93,16196
"10623","ENSG00000164342",36,46,40,18,25,19,1,0,11,45,45,18,0,2,3,1,3,64,22,25,0,5,41,39,31,16,22,19,36,20,15943
"10625","ENSG00000164346",1693,1692,1147,808,668,1939,181,0,1178,2809,735,862,1,1,32,607,646,2593,1041,1508,0,579,1340,1065,796,729,1225,1040,719,1935,9921
"10626","ENSG00000164347",328,233,121,5,11,148,22,18,105,243,110,18,0,12,4,2,8,71,194,366,0,279,380,293,108,139,184,176,46,242,46011
"10627","ENSG00000164362",8,13,1,2,6,2,4,3,6,1,7,14,2,3,1,1,4,3,13,8,0,1,1,6,5,2,11,4,3,4,41875
"10629","ENSG00000164366",200,204,495,69,35,157,31,1,92,354,206,83,0,86,2,2,0,389,237,198,0,594,206,146,61,180,192,116,115,200,13422
"10634","ENSG00000164403",82,79,321,22,127,185,28,3,150,153,128,156,2,6,3,230,0,156,110,471,1,0,87,123,20,15,209,55,78,7,8757
"10636","ENSG00000164405",750,537,435,801,384,309,87,1,467,760,248,614,0,0,27,523,10,517,558,1514,207,1230,611,542,1060,296,503,350,555,2167,2217
"10637","ENSG00000164406",80,53,44,4,4,36,7,0,12,32,38,18,0,1,7,4,0,33,35,35,0,0,57,37,13,15,35,20,20,33,1224
"10638","ENSG00000164411",1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,3,0,2,0,1,0,1,0,0,46299
"10639","ENSG00000164414",122,127,75,26,2,67,55,0,48,223,57,11,0,0,0,1,0,25,90,295,0,0,141,174,125,76,86,46,18,37,39414
"10644","ENSG00000164442",5867,6554,2660,902,615,7278,567,588,2135,8913,6407,4005,63,496,414,473,1344,15267,6173,4811,0,2583,6285,7066,2990,6682,9907,5468,3978,10226,2395
"10645","ENSG00000164463",3024,3484,1246,1308,614,414,353,87,1188,2375,1010,1632,100,125,305,224,1,499,2015,3683,2,497,3460,6836,5072,2604,3112,2338,770,1570,82936
"10647","ENSG00000164466",1044,640,210,155,57,268,44,1,164,687,271,133,6,7,11,3,1,254,589,451,2,196,524,482,204,293,435,374,325,1731,50107
"10648","ENSG00000164483",1386,1777,1003,81,118,185,77,0,571,1714,773,471,149,0,22,4,0,602,1238,779,0,810,2512,1068,412,743,726,814,313,770,221123
"10649","ENSG00000164484",41,32,48,1,1,24,2,0,13,33,35,18,1,0,0,0,0,72,53,114,0,1,19,33,12,19,33,21,19,7,76784
"10652","ENSG00000164494",258,252,105,160,5,27,9,0,82,187,107,68,0,1,2,0,0,244,177,143,0,148,223,163,90,93,170,92,96,195,307018
"10653","ENSG00000164506",1782,1908,509,256,59,553,52,57,462,1705,499,389,3,17,54,0,802,418,915,1790,0,1638,1638,4202,865,1764,2272,1433,542,969,186118
"10654","ENSG00000164509",40,10,1,7,4,32,0,0,6,7,23,5,1,2,1,184,0,25,20,36,0,0,24,12,115,4,21,19,14,16,71475
"10659","ENSG00000164535",607,1155,919,1027,702,966,266,75,639,1128,568,571,90,1,19,3,5,921,705,1055,0,1080,653,740,283,901,996,650,806,1553,38896
"10660","ENSG00000164543",4108,3384,1359,616,380,1390,284,25,1023,2922,1618,1178,112,47,60,0,0,819,1954,1873,0,667,3218,3660,1644,1329,1284,1451,589,3189,44286
"10661","ENSG00000164548",5330,3825,994,567,431,1420,259,47,1265,3119,1689,1420,18,55,138,159,4,981,2540,1913,593,381,4149,4633,2369,2230,2501,2406,596,790,27255
"10662","ENSG00000164574",2531,2441,1425,411,295,686,215,8,1101,2813,1634,1115,43,149,211,99,12,2520,1918,1666,405,1442,2264,1884,965,2217,2780,1634,1160,2780,230248
"10663","ENSG00000164576",674,597,431,99,47,128,63,42,254,613,355,371,84,6,44,0,35,264,445,1160,183,568,633,684,450,350,529,354,227,604,15096
"10664","ENSG00000164587",30696,31636,17275,30058,31513,22887,4485,924,17408,42613,10917,32893,47,700,1083,15153,15292,46813,21446,45071,3533,34079,24764,12240,19026,15506,25229,21634,41019,75068,5527
"10666","ENSG00000164591",3,1,0,2,2,1,0,2,4,1,0,3,2,2,6,2,4,5,3,0,0,1,3,1,3,1,0,3,1,1,18527
"10667","ENSG00000164597",1121,871,388,72,57,130,28,1,209,550,350,162,23,5,32,0,1,476,636,723,199,534,662,674,330,529,447,398,132,326,362770
"10670","ENSG00000164609",2108,2638,1520,2501,1827,874,336,50,1160,3265,627,1364,78,65,295,940,1228,792,1525,2248,0,1900,1868,3717,2201,1425,1699,1746,486,962,17520
"10671","ENSG00000164610",263,194,153,131,87,88,26,2,69,256,81,90,0,0,2,305,5,146,142,100,117,266,210,101,81,92,101,108,51,227,14592
"10672","ENSG00000164611",195,121,31,6,82,13,22,0,47,96,103,57,0,0,13,0,0,67,182,115,0,1,164,99,99,68,50,85,48,446,6881
"10673","ENSG00000164615",1369,1273,915,226,211,624,111,1,526,1294,822,743,17,9,14,122,0,752,764,977,0,448,983,902,937,932,934,647,437,897,13680
"10675","ENSG00000164620",485,380,398,293,144,701,85,0,288,330,667,610,17,2,22,0,1,611,452,519,0,238,613,329,155,565,742,335,295,491,4114
"10677","ENSG00000164626",435,106,44,47,48,58,26,0,46,104,72,76,7,1,2,0,0,114,43,26,0,2,104,70,32,165,87,140,102,626,40504
"10679","ENSG00000164631",486,473,230,6,44,12,30,7,105,584,155,104,3,0,10,31,0,97,395,487,0,0,509,787,212,233,282,260,144,199,18502
"10680","ENSG00000164638",3,2,3,0,21,1,0,3,1,1,3,0,8,3,1,0,0,27,10,6,1,1,6,2,3,9,10,8,8,11,21143
"10682","ENSG00000164649",713,648,772,343,255,611,168,98,169,668,598,191,0,1,3,1,0,907,584,428,1,415,695,593,321,463,575,365,278,530,45025
"10684","ENSG00000164654",574,555,187,132,44,173,76,1,187,571,265,97,0,2,18,24,0,262,557,561,0,17,621,610,235,279,319,183,72,268,40494
"10685","ENSG00000164663",331,244,129,23,29,37,10,0,105,178,242,190,24,2,37,0,4,164,285,273,0,0,266,323,109,301,298,207,74,271,97716
"10689","ENSG00000164684",5,6,1,4,1,4,0,5,1,0,3,0,6,6,3,0,1,4,7,4,0,7,6,7,0,6,0,8,3,15,246330
"10690","ENSG00000164687",56,96,18,37,25,66,2,0,27,68,37,38,0,2,3,0,0,125,92,52,12,224,68,56,25,62,87,67,23,160,4294
"10692","ENSG00000164691",39462,30040,6693,7923,3804,4436,1297,758,3678,20756,4991,7950,343,1518,1281,1546,1277,8436,11413,11642,1002,6721,25799,82638,103358,43054,16078,28082,15827,11655,10157
"10695","ENSG00000164695",1,9,0,3,0,1,0,7,1,1,1,2,2,3,2,1,0,0,0,6,0,0,1,2,17,0,3,2,1,6,27060
"10697","ENSG00000164708",31,39,34,30,118,31,11,0,25,33,24,53,0,0,6,0,0,3,21,21,0,2,15,11,8,28,32,13,35,29,2860
"10698","ENSG00000164713",3196,3171,4112,4782,2467,853,996,182,3165,6267,1121,4821,36,146,378,46,372,3007,2297,7190,362,5039,3098,7729,17257,5149,4917,3411,4898,10330,11296
"10699","ENSG00000164715",2745,3224,456,153,56,589,116,240,893,1333,1170,946,144,157,374,108,4,975,1545,887,0,712,1296,3074,4784,3405,4201,2060,689,1697,102747
"10701","ENSG00000164733",6698,4957,7659,3634,4491,4597,1210,117,7145,10495,4136,5450,87,164,199,404,2539,12420,6265,13967,294,11246,5599,5514,5330,3467,7447,4827,4380,11206,25612
"10703","ENSG00000164741",86,49,19,0,1,2,1,0,9,38,3,0,1,6,0,1,0,5,49,17,0,2,43,35,10,15,55,25,9,13,431557
"10704","ENSG00000164742",4,16,3,2,3,2,0,0,3,5,1,1,1,2,4,0,1,2,5,10,0,3,3,2,3,5,5,7,3,3,148589
"10705","ENSG00000164743",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1445
"10709","ENSG00000164751",415,424,389,37,24,35,46,0,218,463,112,118,0,0,0,52,0,297,302,605,0,146,439,490,352,252,279,235,122,484,20786
"10710","ENSG00000164754",5206,4765,1600,169,98,949,139,19,1031,5167,1380,744,13,114,290,331,0,1044,3112,5690,172,2651,4967,7896,3674,2417,3277,2693,826,3326,28932
"10712","ENSG00000164758",503,529,195,264,51,127,32,0,286,480,214,259,50,0,14,0,0,172,398,601,221,230,477,769,598,323,317,301,238,497,19536
"10715","ENSG00000164776",137,173,202,449,573,568,50,1,143,370,70,255,0,10,48,3,0,255,94,18,0,1,38,68,57,248,248,160,143,299,12713
"10720","ENSG00000164815",217,257,58,18,15,55,21,0,82,237,130,75,0,1,5,0,0,144,165,293,0,0,255,160,94,102,122,91,64,156,81707
"10724","ENSG00000164823",781,541,332,237,51,74,52,0,295,750,168,246,1,27,12,14,0,98,482,1107,0,189,457,1791,1215,321,483,348,94,368,25999
"10726","ENSG00000164828",2776,2285,707,232,158,856,121,247,444,1457,1701,256,0,18,24,27,107,1240,1875,2098,80,165,2195,1436,416,1208,1927,1162,978,1532,59363
"10727","ENSG00000164830",622,605,217,4,1,66,15,104,144,640,300,102,69,17,8,1,2,213,530,963,0,118,673,830,206,247,347,288,113,290,482515
"10729","ENSG00000164849",82,52,218,0,64,239,13,3,22,244,84,116,0,57,20,0,0,208,77,80,0,318,26,46,25,44,108,75,58,84,1756
"10732","ENSG00000164855",3,0,2,5,1,2,0,1,4,2,5,1,11,5,9,1,2,1,4,6,0,2,0,1,1,4,0,2,1,4,14195
"10733","ENSG00000164867",58,80,113,75,39,100,17,6,50,83,100,60,5,3,32,104,2,180,52,64,0,4,76,41,28,55,65,61,90,41,23543
"10735","ENSG00000164877",230,84,93,93,131,45,17,9,58,79,93,170,123,15,89,2,0,60,95,144,0,93,109,75,20,146,159,65,83,104,25114
"10737","ENSG00000164880",5186,3567,4766,1709,1808,4042,772,422,2763,3728,4942,5641,250,598,514,1121,223,6468,3817,4755,202,5203,4088,2679,827,6415,5980,3407,3478,4330,34105
"10738","ENSG00000164885",234,177,387,21,154,58,28,0,201,321,132,315,0,122,2,0,1,611,165,364,1,117,225,178,134,170,222,152,138,394,4153
"10739","ENSG00000164889",1391,1490,2332,257,794,1615,337,194,1290,2192,2027,2899,164,203,173,73,7,3408,1442,2058,165,2703,1977,1466,644,1716,2176,1112,1680,2364,18315
"10741","ENSG00000164896",1297,1696,1243,564,1225,1970,416,390,954,1096,2045,1846,8,121,65,302,790,2380,1312,1695,76,1143,1935,971,546,1676,1875,1151,1489,1468,4262
"10742","ENSG00000164897",630,606,1322,771,1179,1075,252,44,544,975,1215,2329,4,89,62,525,983,1940,623,936,167,2488,666,529,576,971,1130,687,800,1402,2448
"10744","ENSG00000164902",211,239,283,164,143,71,14,8,83,444,157,118,3,10,7,50,8,307,426,366,86,2,272,198,98,131,142,150,81,126,26337
"10745","ENSG00000164904",25,62,0,7,2,1,0,0,9,4,11,1,0,0,1,0,0,65,5,21,0,0,12,8,4,5,15,15,23,16,53549
"10746","ENSG00000164916",1840,2538,1540,109,211,1239,119,818,839,1690,1554,1380,122,240,236,15,210,2616,2572,815,198,1272,1135,911,333,2594,3124,1500,1467,2184,89144
"10747","ENSG00000164919",860,681,74,547,224,184,24,1,357,436,283,353,4,18,0,17,48,821,837,1576,178,182,587,468,444,270,368,453,318,947,16019
"10749","ENSG00000164924",20788,17989,9667,4553,3050,4126,1665,657,6606,23627,6104,6453,389,566,417,1147,855,8589,9122,9438,596,8273,13554,24285,17234,11965,14458,10016,8330,13062,34819
"10750","ENSG00000164929",8,2,0,0,0,1,3,1,5,15,7,2,0,1,0,0,0,3,8,8,0,1,16,8,0,4,11,10,2,10,89612
"10751","ENSG00000164930",30,75,0,0,0,0,1,0,3,6,11,9,4,0,8,16,1,16,60,32,0,221,33,56,11,4,5,23,9,25,34433
"10753","ENSG00000164933",631,544,35,42,27,91,3,0,127,331,170,61,1,1,0,1,0,223,504,390,0,384,453,350,196,209,256,334,87,186,16602
"10754","ENSG00000164934",391,353,98,7,53,260,47,2,57,244,158,68,0,3,1,0,0,159,337,535,0,200,462,461,125,212,247,254,98,156,28738
"10756","ENSG00000164938",4048,2284,445,75,22,115,61,1,514,1317,740,321,46,0,14,0,0,503,1434,1846,0,166,1925,3420,1632,1399,2153,1353,231,877,23415
"10757","ENSG00000164941",1122,861,168,158,85,137,39,8,251,439,337,179,4,1,8,0,0,271,647,1454,0,699,962,1209,510,525,631,444,143,250,57203
"10758","ENSG00000164946",4,1,0,3,1,2,0,3,0,1,2,1,1,1,0,1,0,8,6,4,0,2,8,3,2,0,0,3,4,4,176329
"10760","ENSG00000164951",1324,1029,191,38,27,166,30,2,164,1029,399,32,5,0,33,3,0,305,1276,760,0,200,892,1081,482,330,509,518,216,743,9213
"10761","ENSG00000164953",47,19,3,124,45,19,3,1,21,27,11,24,2,0,1,1,1,25,22,33,2,4,50,23,11,15,22,19,16,15,64388
"10762","ENSG00000164967",316,405,563,511,456,90,133,0,279,585,287,436,0,33,6,54,172,816,245,348,0,455,264,242,339,296,311,249,286,395,1628
"10763","ENSG00000164970",559,560,385,189,72,285,108,212,306,406,556,673,31,37,40,265,0,1051,577,795,0,240,690,716,247,752,942,713,412,448,60386
"10765","ENSG00000164975",287,331,171,28,17,98,8,0,90,280,205,88,13,4,6,0,1,240,318,416,0,1,429,352,78,114,126,117,86,90,38845
"10766","ENSG00000164978",508,289,180,536,302,161,46,0,297,410,125,94,0,0,5,0,1,417,135,164,134,403,220,161,222,139,321,104,125,389,14207
"10767","ENSG00000164983",303,243,19,30,11,0,13,4,98,229,135,60,5,12,30,0,0,102,213,383,0,99,350,403,221,198,230,187,102,61,61781
"10768","ENSG00000164985",1729,1800,903,875,578,840,127,133,575,1831,921,507,184,202,241,1408,739,858,1397,1674,296,1547,1763,1715,601,935,1292,926,398,563,46938
"10769","ENSG00000164989",62,27,2,4,6,0,0,1,8,21,28,1,2,1,5,0,0,23,39,25,0,4,37,27,8,15,14,11,5,23,418800
